isosmiles,Formula,SMILES,Ref
NC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF,C10H4F19N,NC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF,EPA_Dashboard
FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12F24,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CC(F)(F)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H5F13O,CC(F)(F)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C11HClF20O,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)=O,EPA_Dashboard
FC(F)(Cl)C(F)(F)C(Cl)Cl,C3HCl3F4,FC(F)(Cl)C(F)(F)C(Cl)Cl,EPA_Dashboard
CC1NC(C(F)(F)F)(C(F)(F)F)OC1c1ccccc1,C12H11F6NO,CC1NC(OC1C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H3F9O2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(=O)C=C,EPA_Dashboard
Cc1cc(C(O)(C(F)(F)F)C(F)(F)F)c(N)c(C(O)(C(F)(F)F)C(F)(F)F)c1,C13H9F12NO2,CC1=CC(=C(N)C(=C1)C(O)(C(F)(F)F)C(F)(F)F)C(O)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
C=CC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H9F9O2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCOC(=O)C=C,EPA_Dashboard
CCOP(=O)(OCC)OC(CCC(C)C)=C(F)C(F)(F)C(F)(F)F,C13H21F6O4P,CCOP(=O)(OCC)OC(CCC(C)C)=C(F)C(F)(F)C(F)(F)F,EPA_Dashboard
COC(F)(C(=O)O)C(F)(F)F,C4H4F4O3,COC(F)(C(O)=O)C(F)(F)F,EPA_Dashboard
Cc1[nH]nc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1Cl,C8H4ClF9N2,CC1=C(Cl)C(=NN1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CCC(C)(O)C(F)(F)C(F)(F)C(F)(F)F,C7H9F7O,CCC(C)(O)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15F32,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
O=C=NCC(F)(F)C(F)(F)C(F)(F)F,C5H2F7NO,FC(F)(F)C(F)(F)C(F)(F)CN=C=O,EPA_Dashboard
CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C18H19F19,CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H8F13NO2S,CCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
